
[2052-11-10 00:18:03.703] BLE disconnected. conn_hdl=0 reason=0x13
[2052-11-10 00:18:03.704] BLE advertising restarted.
[2052-11-10 00:00:01.051] BLE connected. conn_hdl=0 peers=1
[2052-11-10 00:00:01.051] [Settings] current: threshold=15.0 deg  debounce=200 ms  deadzone=5.0 deg
[2052-11-10 00:00:10.098] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:10.138] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:10.177] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:10.217] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:10.257] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:10.298] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:10.337] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:10.378] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:10.418] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:10.458] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:10.499] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:10.538] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:10.578] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:10.617] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:10.658] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:10.698] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:10.738] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:10.778] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:10.818] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:10.858] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:10.898] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:10.937] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:10.977] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:11.018] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:11.058] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:11.097] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:11.138] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:11.178] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:11.218] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:11.257] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:11.297] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:11.337] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
